Period,Weighted average of eight capital cities
1953-Q4,4.45
1953-Q3,4.48
1953-Q2,4.45
1953-Q1,4.41
1952-Q4,4.37
1952-Q3,4.33
1952-Q2,4.25
1952-Q1,4.1
1951-Q4,3.98
1951-Q3,3.71
1951-Q2,3.52
1951-Q1,3.32
1950-Q4,3.17
1950-Q3,3.05
1950-Q2,3.02
1950-Q1,2.9
1949-Q4,2.86
1949-Q3,2.82
1949-Q2,2.74
1949-Q1,2.71
1948-Q4,2.63
1948-Q3,2.59
